date;Amazon Shopping;Android System;Calculator;Calendar;Camera;Chrome;Classroom;Clock;Discord;Drive;Files;Gmail;Google;Google News;Google Opinion Rewards;Google Play services;Google Play Store;Instagram;LinkedIn;Maps;Medium;Mi Tigo;Microsoft 365 (Office);Moto App Launcher;Nequi Colombia;Notion;Package installer;Photomath;Photos;Settings;SIATA;SimCity;Spotify;Stellarium;Symbolab;System UI;Tasks;Teams;Telegram;TikTok;Truecaller;Twitter;tyba;Upwork Talent;WhatsApp;YouTube;YouTube Music;Zoom
2022-12-25;0.0;0.0;0.0;2.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;1.0;3.0;56.0;0.0;2.0;0.0;1.0;0.0;321.0;0.0;0.0;1.0;0.0;0.0;5.0;7.0;0.0;9.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;9.0;0.0;0.0;144.0;3.0;0.0;0.0
2022-12-26;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;2.0;38.0;11.0;1.0;1.0;0.0;0.0;324.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;38.0;0.0;0.0;186.0;14.0;0.0;0.0
2022-12-27;0.0;3.0;0.0;0.0;0.0;13.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;6.0;26.0;4.0;19.0;0.0;5.0;0.0;332.0;0.0;3.0;2.0;0.0;0.0;5.0;0.0;0.0;100.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;0.0;19.0;0.0;0.0;156.0;8.0;0.0;0.0
2022-12-28;0.0;2.0;0.0;0.0;1.0;26.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;6.0;1.0;0.0;4.0;52.0;3.0;47.0;2.0;1.0;0.0;570.0;0.0;2.0;1.0;0.0;4.0;4.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;16.0;0.0;0.0;250.0;5.0;0.0;0.0
2022-12-29;0.0;0.0;0.0;1.0;3.0;24.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;1.0;3.0;56.0;1.0;3.0;0.0;1.0;0.0;358.0;0.0;9.0;0.0;0.0;10.0;6.0;0.0;0.0;15.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;39.0;0.0;0.0;137.0;4.0;0.0;0.0
2022-12-30;0.0;5.0;0.0;0.0;0.0;39.0;0.0;0.0;5.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;49.0;3.0;3.0;5.0;2.0;0.0;304.0;0.0;10.0;0.0;0.0;0.0;4.0;0.0;0.0;46.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0;105.0;7.0;0.0;0.0
2022-12-31;0.0;4.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;56.0;1.0;2.0;0.0;1.0;0.0;526.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;11.0;0.0;0.0;198.0;7.0;0.0;0.0
2023-01-01;0.0;0.0;5.0;0.0;5.0;8.0;0.0;1.0;4.0;0.0;0.0;0.0;4.0;3.0;0.0;1.0;0.0;75.0;0.0;12.0;0.0;0.0;0.0;384.0;0.0;10.0;0.0;0.0;5.0;1.0;2.0;0.0;27.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;10.0;0.0;0.0;186.0;31.0;0.0;0.0
2023-01-02;0.0;0.0;5.0;1.0;0.0;18.0;1.0;0.0;3.0;3.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;42.0;3.0;10.0;0.0;1.0;0.0;314.0;0.0;6.0;0.0;0.0;11.0;7.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;20.0;0.0;0.0;86.0;16.0;0.0;0.0
2023-01-03;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;30.0;1.0;0.0;7.0;0.0;0.0;172.0;0.0;1.0;0.0;0.0;5.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;13.0;0.0;0.0;52.0;4.0;0.0;0.0
2023-01-04;0.0;3.0;4.0;1.0;0.0;66.0;0.0;0.0;4.0;9.0;2.0;1.0;8.0;2.0;0.0;0.0;1.0;35.0;55.0;9.0;9.0;0.0;0.0;283.0;0.0;3.0;0.0;0.0;12.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;2.0;49.0;0.0;0.0;82.0;22.0;0.0;0.0
2023-01-05;0.0;1.0;2.0;2.0;0.0;36.0;0.0;1.0;8.0;3.0;8.0;3.0;1.0;2.0;0.0;1.0;7.0;41.0;39.0;1.0;6.0;2.0;0.0;246.0;0.0;8.0;2.0;0.0;6.0;2.0;0.0;0.0;32.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;0.0;38.0;0.0;0.0;58.0;27.0;0.0;0.0
2023-01-06;0.0;0.0;0.0;1.0;0.0;20.0;0.0;1.0;5.0;0.0;0.0;0.0;3.0;2.0;2.0;0.0;2.0;63.0;29.0;8.0;9.0;1.0;0.0;355.0;0.0;2.0;0.0;0.0;8.0;3.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;2.0;31.0;0.0;0.0;89.0;49.0;0.0;0.0
2023-01-07;0.0;3.0;2.0;0.0;0.0;16.0;0.0;0.0;6.0;3.0;0.0;0.0;6.0;1.0;0.0;0.0;1.0;43.0;12.0;15.0;8.0;1.0;0.0;344.0;0.0;3.0;1.0;0.0;3.0;39.0;0.0;0.0;0.0;14.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;11.0;0.0;0.0;81.0;6.0;0.0;0.0
2023-01-08;0.0;4.0;6.0;1.0;1.0;20.0;0.0;0.0;3.0;0.0;0.0;1.0;8.0;1.0;0.0;0.0;1.0;68.0;21.0;4.0;0.0;9.0;0.0;396.0;0.0;8.0;0.0;0.0;4.0;27.0;0.0;0.0;78.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;4.0;32.0;0.0;0.0;110.0;5.0;0.0;0.0
2023-01-09;0.0;2.0;1.0;0.0;0.0;26.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;46.0;10.0;0.0;0.0;9.0;0.0;275.0;0.0;2.0;0.0;0.0;4.0;4.0;0.0;0.0;21.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;6.0;13.0;0.0;0.0;115.0;8.0;0.0;0.0
2023-01-10;0.0;1.0;4.0;1.0;1.0;28.0;0.0;0.0;6.0;0.0;0.0;2.0;8.0;0.0;2.0;0.0;1.0;65.0;3.0;28.0;2.0;1.0;0.0;382.0;0.0;0.0;0.0;0.0;1.0;7.0;5.0;0.0;29.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;166.0;1.0;0.0;0.0
2023-01-11;0.0;1.0;1.0;0.0;0.0;3.0;0.0;3.0;4.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;1.0;21.0;6.0;0.0;4.0;4.0;0.0;302.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;2.0;5.0;8.0;0.0;0.0;0.0;4.0;0.0;0.0;155.0;1.0;0.0;0.0
2023-01-12;0.0;2.0;0.0;7.0;1.0;11.0;0.0;0.0;2.0;0.0;0.0;5.0;1.0;2.0;0.0;3.0;4.0;18.0;21.0;0.0;0.0;7.0;0.0;226.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;28.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;8.0;9.0;0.0;0.0;86.0;2.0;0.0;0.0
2023-01-13;0.0;1.0;2.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;2.0;32.0;4.0;0.0;0.0;0.0;0.0;306.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;32.0;4.0;0.0;0.0;133.0;12.0;0.0;0.0
2023-01-14;0.0;0.0;0.0;0.0;0.0;12.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;19.0;5.0;0.0;0.0;0.0;0.0;158.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;7.0;0.0;0.0;72.0;1.0;0.0;0.0
2023-01-15;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;1.0;7.0;0.0;0.0;3.0;0.0;237.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;166.0;15.0;0.0;0.0
2023-01-16;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0;2.0;5.0;0.0;180.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;20.0;0.0;0.0;115.0;3.0;0.0;0.0
2023-01-17;0.0;2.0;0.0;2.0;1.0;30.0;0.0;3.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;177.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;15.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;117.0;5.0;0.0;0.0
2023-01-18;0.0;0.0;1.0;3.0;0.0;26.0;0.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0;2.0;1.0;7.0;0.0;18.0;0.0;0.0;2.0;0.0;271.0;0.0;0.0;2.0;0.0;4.0;2.0;5.0;0.0;23.0;0.0;0.0;4.0;4.0;19.0;0.0;0.0;0.0;8.0;0.0;0.0;150.0;27.0;0.0;0.0
2023-01-19;0.0;1.0;30.0;1.0;0.0;18.0;0.0;4.0;2.0;1.0;0.0;1.0;0.0;4.0;4.0;5.0;18.0;0.0;9.0;0.0;14.0;2.0;0.0;258.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;38.0;0.0;0.0;1.0;5.0;2.0;0.0;0.0;3.0;4.0;0.0;0.0;211.0;10.0;0.0;0.0
2023-01-20;0.0;0.0;12.0;0.0;0.0;19.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;0.0;0.0;0.0;151.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;10.0;9.0;0.0;0.0;84.0;7.0;0.0;0.0
2023-01-21;1.0;3.0;3.0;0.0;0.0;14.0;0.0;7.0;0.0;0.0;9.0;6.0;3.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;10.0;0.0;0.0;184.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;28.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;8.0;10.0;0.0;0.0;112.0;7.0;0.0;0.0
2023-01-22;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;0.0;135.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;46.0;4.0;0.0;0.0;8.0;0.0;0.0;0.0;3.0;21.0;0.0;0.0;56.0;8.0;0.0;0.0
2023-01-23;0.0;1.0;0.0;0.0;0.0;31.0;0.0;2.0;1.0;8.0;4.0;6.0;4.0;4.0;1.0;0.0;2.0;0.0;25.0;0.0;4.0;0.0;0.0;178.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;46.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;5.0;11.0;0.0;0.0;83.0;6.0;0.0;0.0
2023-01-24;0.0;2.0;0.0;0.0;0.0;15.0;0.0;3.0;5.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;4.0;0.0;6.0;0.0;0.0;158.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;25.0;2.0;0.0;4.0;9.0;0.0;0.0;0.0;12.0;10.0;0.0;0.0;118.0;21.0;0.0;0.0
2023-01-25;0.0;5.0;0.0;0.0;0.0;20.0;0.0;5.0;0.0;3.0;0.0;3.0;2.0;0.0;0.0;4.0;3.0;0.0;11.0;0.0;0.0;0.0;0.0;186.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;16.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;7.0;14.0;0.0;7.0;122.0;13.0;0.0;0.0
2023-01-26;2.0;3.0;1.0;0.0;0.0;42.0;0.0;0.0;6.0;2.0;1.0;1.0;5.0;0.0;0.0;0.0;2.0;0.0;7.0;1.0;0.0;0.0;0.0;193.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;38.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;19.0;7.0;0.0;0.0;78.0;25.0;0.0;0.0
2023-01-27;0.0;1.0;0.0;0.0;0.0;20.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;18.0;1.0;6.0;3.0;0.0;160.0;0.0;1.0;0.0;0.0;7.0;1.0;0.0;0.0;22.0;3.0;0.0;2.0;2.0;4.0;0.0;0.0;9.0;29.0;0.0;0.0;91.0;8.0;0.0;0.0
2023-01-28;0.0;0.0;0.0;0.0;0.0;10.0;0.0;9.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;7.0;0.0;1.0;0.0;0.0;169.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;32.0;5.0;0.0;7.0;4.0;0.0;0.0;0.0;4.0;6.0;0.0;0.0;112.0;10.0;0.0;0.0
2023-01-29;1.0;2.0;4.0;0.0;0.0;13.0;0.0;0.0;6.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;0.0;0.0;133.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;32.0;1.0;0.0;6.0;1.0;0.0;0.0;0.0;11.0;11.0;0.0;0.0;43.0;10.0;0.0;0.0
2023-01-30;0.0;0.0;1.0;0.0;0.0;14.0;0.0;11.0;1.0;0.0;0.0;2.0;6.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;3.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;45.0;4.0;0.0;3.0;4.0;0.0;0.0;0.0;11.0;15.0;0.0;0.0;116.0;13.0;0.0;0.0
2023-01-31;4.0;0.0;1.0;0.0;0.0;9.0;0.0;1.0;0.0;2.0;0.0;9.0;3.0;0.0;1.0;1.0;0.0;0.0;6.0;2.0;0.0;1.0;0.0;267.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;6.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0;8.0;0.0;0.0;141.0;23.0;0.0;0.0
2023-02-01;0.0;1.0;11.0;1.0;0.0;33.0;0.0;5.0;0.0;3.0;0.0;12.0;0.0;0.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;288.0;0.0;0.0;2.0;0.0;5.0;6.0;0.0;0.0;58.0;2.0;0.0;0.0;13.0;2.0;0.0;0.0;9.0;6.0;0.0;0.0;155.0;18.0;0.0;0.0
2023-02-02;4.0;0.0;25.0;1.0;0.0;17.0;0.0;1.0;2.0;2.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;8.0;0.0;257.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;26.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;18.0;5.0;0.0;0.0;152.0;16.0;0.0;0.0
2023-02-03;0.0;0.0;0.0;0.0;0.0;16.0;0.0;1.0;1.0;2.0;0.0;5.0;4.0;3.0;0.0;1.0;0.0;0.0;13.0;0.0;0.0;1.0;0.0;186.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;7.0;6.0;0.0;0.0;120.0;19.0;0.0;0.0
2023-02-04;0.0;3.0;0.0;0.0;0.0;17.0;0.0;5.0;0.0;0.0;0.0;7.0;2.0;2.0;1.0;0.0;1.0;0.0;8.0;0.0;2.0;0.0;0.0;196.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;34.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;16.0;0.0;0.0;89.0;9.0;0.0;0.0
2023-02-05;0.0;1.0;0.0;1.0;0.0;21.0;0.0;0.0;4.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;154.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;30.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;7.0;8.0;0.0;0.0;92.0;27.0;0.0;0.0
2023-02-06;7.0;0.0;4.0;12.0;0.0;32.0;0.0;5.0;2.0;10.0;0.0;13.0;5.0;1.0;0.0;0.0;8.0;8.0;9.0;3.0;6.0;3.0;0.0;320.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;18.0;1.0;0.0;0.0;13.0;4.0;0.0;0.0;4.0;10.0;0.0;0.0;141.0;9.0;0.0;0.0
2023-02-07;0.0;4.0;2.0;15.0;0.0;26.0;2.0;9.0;2.0;8.0;0.0;44.0;3.0;0.0;0.0;0.0;0.0;25.0;7.0;1.0;3.0;2.0;0.0;252.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;3.0;0.0;0.0;4.0;8.0;0.0;0.0;0.0;1.0;13.0;0.0;0.0;107.0;12.0;0.0;0.0
2023-02-08;0.0;5.0;0.0;7.0;0.0;9.0;1.0;3.0;0.0;1.0;0.0;2.0;3.0;0.0;2.0;0.0;1.0;20.0;7.0;0.0;0.0;2.0;0.0;236.0;0.0;0.0;2.0;0.0;7.0;3.0;0.0;0.0;25.0;1.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;160.0;13.0;0.0;0.0
2023-02-09;1.0;2.0;2.0;12.0;0.0;21.0;0.0;6.0;0.0;5.0;0.0;29.0;3.0;2.0;0.0;1.0;2.0;32.0;3.0;5.0;0.0;2.0;0.0;292.0;0.0;4.0;1.0;14.0;6.0;3.0;0.0;0.0;21.0;2.0;4.0;5.0;15.0;0.0;0.0;0.0;2.0;6.0;0.0;0.0;113.0;6.0;0.0;0.0
2023-02-10;0.0;0.0;0.0;2.0;0.0;5.0;0.0;8.0;2.0;9.0;0.0;8.0;2.0;2.0;0.0;1.0;0.0;24.0;2.0;0.0;4.0;3.0;0.0;221.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;9.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;8.0;0.0;0.0;96.0;6.0;0.0;0.0
2023-02-11;0.0;1.0;2.0;1.0;0.0;12.0;0.0;6.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;2.0;45.0;2.0;2.0;1.0;1.0;0.0;294.0;0.0;0.0;0.0;3.0;3.0;2.0;0.0;0.0;9.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;150.0;20.0;0.0;0.0
2023-02-12;1.0;1.0;0.0;0.0;0.0;21.0;0.0;1.0;1.0;2.0;0.0;5.0;1.0;0.0;0.0;2.0;2.0;37.0;1.0;2.0;0.0;3.0;0.0;189.0;0.0;3.0;0.0;1.0;8.0;2.0;5.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;85.0;10.0;0.0;0.0
2023-02-13;0.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;7.0;0.0;0.0;2.0;1.0;1.0;25.0;4.0;0.0;0.0;1.0;0.0;218.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;16.0;0.0;0.0;0.0;3.0;0.0;0.0;128.0;3.0;0.0;0.0
2023-02-14;0.0;0.0;4.0;11.0;0.0;8.0;0.0;8.0;1.0;6.0;0.0;37.0;4.0;0.0;0.0;0.0;0.0;22.0;1.0;2.0;2.0;1.0;0.0;250.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0;0.0;21.0;0.0;0.0;9.0;8.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;119.0;12.0;0.0;0.0
2023-02-15;0.0;0.0;1.0;4.0;0.0;11.0;0.0;7.0;0.0;4.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;202.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;24.0;0.0;0.0;5.0;10.0;42.0;0.0;0.0;3.0;5.0;0.0;0.0;133.0;0.0;0.0;0.0
2023-02-16;0.0;1.0;1.0;4.0;0.0;22.0;0.0;10.0;0.0;2.0;0.0;29.0;1.0;0.0;0.0;0.0;2.0;18.0;1.0;0.0;0.0;2.0;0.0;256.0;0.0;0.0;1.0;1.0;5.0;0.0;0.0;0.0;32.0;0.0;0.0;9.0;5.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;111.0;6.0;0.0;0.0
2023-02-17;0.0;0.0;6.0;1.0;0.0;28.0;0.0;9.0;1.0;1.0;0.0;4.0;2.0;2.0;1.0;0.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;255.0;0.0;0.0;0.0;11.0;2.0;2.0;0.0;0.0;31.0;0.0;0.0;11.0;9.0;29.0;0.0;0.0;0.0;1.0;0.0;0.0;121.0;1.0;0.0;0.0
2023-02-18;0.0;0.0;0.0;0.0;0.0;6.0;0.0;4.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;5.0;2.0;4.0;0.0;1.0;0.0;163.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;88.0;12.0;0.0;0.0
2023-02-19;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;178.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;25.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;106.0;8.0;0.0;0.0
2023-02-20;0.0;0.0;4.0;2.0;0.0;31.0;0.0;4.0;0.0;10.0;0.0;6.0;5.0;0.0;0.0;0.0;4.0;9.0;0.0;0.0;0.0;1.0;0.0;214.0;0.0;0.0;1.0;0.0;11.0;5.0;0.0;0.0;18.0;0.0;0.0;10.0;12.0;17.0;0.0;0.0;3.0;2.0;0.0;0.0;106.0;3.0;0.0;0.0
2023-02-21;0.0;2.0;6.0;16.0;0.0;41.0;2.0;9.0;0.0;9.0;1.0;27.0;8.0;0.0;1.0;1.0;0.0;33.0;0.0;0.0;1.0;2.0;0.0;385.0;0.0;0.0;2.0;24.0;7.0;11.0;1.0;0.0;30.0;1.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;191.0;11.0;0.0;0.0
2023-02-22;0.0;3.0;1.0;3.0;0.0;9.0;4.0;5.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;2.0;1.0;17.0;2.0;0.0;0.0;3.0;0.0;287.0;0.0;0.0;2.0;2.0;5.0;3.0;0.0;0.0;36.0;0.0;0.0;58.0;10.0;130.0;0.0;0.0;2.0;14.0;0.0;0.0;192.0;3.0;0.0;18.0
2023-02-23;0.0;8.0;0.0;3.0;0.0;12.0;0.0;7.0;0.0;1.0;6.0;11.0;5.0;0.0;0.0;3.0;3.0;17.0;0.0;0.0;0.0;9.0;11.0;248.0;0.0;0.0;0.0;2.0;1.0;8.0;7.0;0.0;1.0;0.0;0.0;3.0;10.0;5.0;0.0;0.0;6.0;2.0;0.0;0.0;91.0;0.0;0.0;0.0
2023-02-24;0.0;1.0;7.0;3.0;5.0;26.0;1.0;5.0;0.0;0.0;6.0;4.0;4.0;0.0;0.0;0.0;7.0;40.0;0.0;0.0;0.0;7.0;19.0;340.0;0.0;0.0;0.0;1.0;10.0;8.0;0.0;0.0;24.0;0.0;0.0;13.0;8.0;27.0;0.0;0.0;1.0;4.0;0.0;0.0;171.0;6.0;0.0;0.0
2023-02-25;0.0;5.0;2.0;2.0;0.0;11.0;0.0;3.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;41.0;0.0;0.0;0.0;0.0;3.0;224.0;0.0;0.0;1.0;0.0;1.0;10.0;0.0;0.0;30.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;104.0;10.0;0.0;0.0
2023-02-26;0.0;9.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;2.0;0.0;1.0;35.0;0.0;0.0;0.0;1.0;0.0;215.0;0.0;0.0;0.0;4.0;4.0;2.0;1.0;0.0;22.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;138.0;5.0;0.0;0.0
2023-02-27;0.0;5.0;0.0;5.0;1.0;23.0;0.0;7.0;0.0;3.0;2.0;2.0;5.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;1.0;4.0;236.0;0.0;0.0;1.0;4.0;12.0;4.0;0.0;0.0;21.0;0.0;0.0;5.0;8.0;27.0;0.0;0.0;0.0;3.0;0.0;0.0;142.0;6.0;0.0;0.0
2023-02-28;0.0;10.0;0.0;11.0;0.0;16.0;0.0;5.0;0.0;0.0;0.0;21.0;2.0;0.0;0.0;2.0;0.0;22.0;0.0;0.0;0.0;3.0;1.0;249.0;0.0;0.0;1.0;5.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0;0.0;0.0;16.0;5.0;0.0;0.0;149.0;2.0;0.0;0.0
2023-03-01;0.0;10.0;14.0;4.0;0.0;14.0;5.0;7.0;0.0;6.0;5.0;5.0;0.0;0.0;0.0;0.0;2.0;24.0;0.0;3.0;0.0;0.0;18.0;177.0;0.0;0.0;1.0;0.0;2.0;4.0;0.0;0.0;21.0;0.0;0.0;7.0;4.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;3.0;0.0;0.0
2023-03-02;0.0;1.0;0.0;6.0;0.0;15.0;3.0;10.0;0.0;7.0;0.0;52.0;3.0;0.0;3.0;0.0;3.0;18.0;1.0;3.0;0.0;4.0;7.0;237.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;22.0;5.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;146.0;2.0;0.0;0.0
2023-03-03;0.0;7.0;13.0;3.0;4.0;16.0;0.0;4.0;0.0;0.0;1.0;2.0;10.0;0.0;0.0;1.0;1.0;36.0;0.0;13.0;0.0;1.0;7.0;214.0;0.0;8.0;0.0;1.0;6.0;9.0;0.0;0.0;3.0;0.0;0.0;16.0;8.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;168.0;2.0;0.0;0.0
